"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"SF/PF","LeBron James",10300,"Tor@Cle 07:00PM ET",51.167,"Cle"
"PG","Damian Lillard",9300,"Chi@Por 10:00PM ET",45.795,"Por"
"SG","DeMar DeRozan",8800,"Tor@Cle 07:00PM ET",46.583,"Tor"
"C","Hassan Whiteside",8300,"Atl@Mia 07:30PM ET",44.556,"Mia"
"C","Karl-Anthony Towns",8200,"Cha@Min 08:00PM ET",42.167,"Min"
"SG/SF","Jimmy Butler",8000,"Chi@Por 10:00PM ET",41.175,"Chi"
"PG","Kemba Walker",7900,"Cha@Min 08:00PM ET",42.611,"Cha"
"PF/C","Kevin Love",7800,"Tor@Cle 07:00PM ET",39.111,"Cle"
"PF","Paul Millsap",7700,"Atl@Mia 07:30PM ET",35.917,"Atl"
"PG","Kyle Lowry",7600,"Tor@Cle 07:00PM ET",38.722,"Tor"
"PG/SG","C.J. McCollum",7500,"Chi@Por 10:00PM ET",36.795,"Por"
"PG","Kyrie Irving",7400,"Tor@Cle 07:00PM ET",36.972,"Cle"
"C","Dwight Howard",7200,"Atl@Mia 07:30PM ET",39.056,"Atl"
"SF","Andrew Wiggins",7000,"Cha@Min 08:00PM ET",36.250,"Min"
"SG/SF","Nicolas Batum",6800,"Cha@Min 08:00PM ET",32.417,"Cha"
"PF","Julius Randle",6600,"Bkn@LAL 10:30PM ET",31.318,"LAL"
"SG","Dwyane Wade",6400,"Chi@Por 10:00PM ET",30.525,"Chi"
"PG","Jeremy Lin",6400,"Bkn@LAL 10:30PM ET",32.350,"Bkn"
"PG","Dennis Schroder",6300,"Atl@Mia 07:30PM ET",30.889,"Atl"
"SG","Zach LaVine",6200,"Cha@Min 08:00PM ET",30.813,"Min"
"PG","D'Angelo Russell",6200,"Bkn@LAL 10:30PM ET",28.432,"LAL"
"C","Brook Lopez",6100,"Bkn@LAL 10:30PM ET",30.375,"Bkn"
"PG","Goran Dragic",6000,"Atl@Mia 07:30PM ET",31.893,"Mia"
"C","Jonas Valanciunas",6000,"Tor@Cle 07:00PM ET",29.607,"Tor"
"PF","Trevor Booker",5900,"Bkn@LAL 10:30PM ET",28.375,"Bkn"
"PG/SG","Sean Kilpatrick",5800,"Bkn@LAL 10:30PM ET",26.950,"Bkn"
"PG","Ricky Rubio",5700,"Cha@Min 08:00PM ET",25.188,"Min"
"PG","Rajon Rondo",5700,"Chi@Por 10:00PM ET",26.600,"Chi"
"PF/C","Gorgui Dieng",5600,"Cha@Min 08:00PM ET",27.000,"Min"
"SG","Lou Williams",5600,"Bkn@LAL 10:30PM ET",28.182,"LAL"
"SF","Justise Winslow",5500,"Atl@Mia 07:30PM ET",26.778,"Mia"
"PF/C","Taj Gibson",5500,"Chi@Por 10:00PM ET",27.250,"Chi"
"PG/SG","Tyler Johnson",5400,"Atl@Mia 07:30PM ET",26.861,"Mia"
"C","Mason Plumlee",5300,"Chi@Por 10:00PM ET",25.773,"Por"
"SF","Maurice Harkless",5200,"Chi@Por 10:00PM ET",22.159,"Por"
"PF","Marvin Williams",5100,"Cha@Min 08:00PM ET",26.028,"Cha"
"PG/SG","Jordan Clarkson",5100,"Bkn@LAL 10:30PM ET",23.636,"LAL"
"SG/SF","Kent Bazemore",5000,"Atl@Mia 07:30PM ET",24.944,"Atl"
"SF","Michael Kidd-Gilchrist",4900,"Cha@Min 08:00PM ET",26.063,"Cha"
"SG/SF","Josh Richardson",4800,"Atl@Mia 07:30PM ET",15.700,"Mia"
"PF","Nikola Mirotic",4800,"Chi@Por 10:00PM ET",21.675,"Chi"
"C","Tristan Thompson",4700,"Tor@Cle 07:00PM ET",22.500,"Cle"
"PF","Al-Farouq Aminu",4700,"Chi@Por 10:00PM ET",21.844,"Por"
"SG","Nick Young",4700,"Bkn@LAL 10:30PM ET",21.500,"LAL"
"C","Robin Lopez",4600,"Chi@Por 10:00PM ET",21.525,"Chi"
"SF","Rondae Hollis-Jefferson",4500,"Bkn@LAL 10:30PM ET",19.575,"Bkn"
"C","Justin Hamilton",4400,"Bkn@LAL 10:30PM ET",19.650,"Bkn"
"SG","J.R. Smith",4300,"Tor@Cle 07:00PM ET",21.500,"Cle"
"SG","Dion Waiters",4200,"Atl@Mia 07:30PM ET",23.583,"Mia"
"PF","Patrick Patterson",4200,"Tor@Cle 07:00PM ET",20.806,"Tor"
"SG/SF","Bojan Bogdanovic",4200,"Bkn@LAL 10:30PM ET",21.025,"Bkn"
"C","Lucas Nogueira",4100,"Tor@Cle 07:00PM ET",26.563,"Tor"
"SF/PF","Larry Nance Jr.",4100,"Bkn@LAL 10:30PM ET",18.125,"LAL"
"SF","Thabo Sefolosha",4000,"Atl@Mia 07:30PM ET",22.500,"Atl"
"SG/SF","Allen Crabbe",4000,"Chi@Por 10:00PM ET",17.409,"Por"
"PG","Isaiah Whitehead",4000,"Bkn@LAL 10:30PM ET",13.250,"Bkn"
"C","Cole Aldrich",3900,"Cha@Min 08:00PM ET",10.667,"Min"
"C","Cody Zeller",3900,"Cha@Min 08:00PM ET",20.528,"Cha"
"PG/SG","Iman Shumpert",3900,"Tor@Cle 07:00PM ET",17.917,"Cle"
"SG/SF","Evan Turner",3900,"Chi@Por 10:00PM ET",17.295,"Por"
"SF/PF","Luol Deng",3900,"Bkn@LAL 10:30PM ET",17.773,"LAL"
"PF/C","Spencer Hawes",3800,"Cha@Min 08:00PM ET",20.139,"Cha"
"PF","Nemanja Bjelica",3800,"Cha@Min 08:00PM ET",15.583,"Min"
"PF","Frank Kaminsky",3800,"Cha@Min 08:00PM ET",18.750,"Cha"
"PG","Ramon Sessions",3700,"Cha@Min 08:00PM ET",13.139,"Cha"
"PG","Kris Dunn",3700,"Cha@Min 08:00PM ET",17.361,"Min"
"SG","Kyle Korver",3700,"Atl@Mia 07:30PM ET",18.844,"Atl"
"SF/PF","James Johnson",3700,"Atl@Mia 07:30PM ET",18.750,"Mia"
"SG/SF","Norman Powell",3700,"Tor@Cle 07:00PM ET",11.219,"Tor"
"PG/SG","Tim Hardaway Jr.",3600,"Atl@Mia 07:30PM ET",18.444,"Atl"
"C","Willie Reed",3600,"Atl@Mia 07:30PM ET",9.750,"Mia"
"C","Mike Muscala",3600,"Atl@Mia 07:30PM ET",19.361,"Atl"
"SF/PF","DeMarre Carroll",3600,"Tor@Cle 07:00PM ET",15.906,"Tor"
"PF","Channing Frye",3600,"Tor@Cle 07:00PM ET",19.964,"Cle"
"PF","Meyers Leonard",3600,"Chi@Por 10:00PM ET",11.833,"Por"
"SG","Marco Belinelli",3500,"Cha@Min 08:00PM ET",16.583,"Cha"
"PG","Cory Joseph",3500,"Tor@Cle 07:00PM ET",13.694,"Tor"
"SF","Doug McDermott",3500,"Chi@Por 10:00PM ET",16.889,"Chi"
"SG/SF","Joe Harris",3500,"Bkn@LAL 10:30PM ET",17.250,"Bkn"
"C","Timofey Mozgov",3500,"Bkn@LAL 10:30PM ET",16.825,"LAL"
"PG","Tyus Jones",3400,"Cha@Min 08:00PM ET",17.893,"Min"
"C","Roy Hibbert",3400,"Cha@Min 08:00PM ET",16.563,"Cha"
"SG/SF","Terrence Ross",3400,"Tor@Cle 07:00PM ET",15.938,"Tor"
"SF","Brandon Ingram",3300,"Bkn@LAL 10:30PM ET",14.614,"LAL"
"SG/SF","Mike Dunleavy",3200,"Tor@Cle 07:00PM ET",8.944,"Cle"
"PG","Michael Carter-Williams",3100,"Chi@Por 10:00PM ET",13.583,"Chi"
"PF/C","Luis Scola",3100,"Bkn@LAL 10:30PM ET",14.975,"Bkn"
"PG","John Lucas III",3000,"Cha@Min 08:00PM ET",2.500,"Min"
"PG","Brian Roberts",3000,"Cha@Min 08:00PM ET",3.250,"Cha"
"PG","Aaron Harrison",3000,"Cha@Min 08:00PM ET",2.750,"Cha"
"SG/SF","Brandon Rush",3000,"Cha@Min 08:00PM ET",7.100,"Min"
"SG/SF","Jeremy Lamb",3000,"Cha@Min 08:00PM ET",14.833,"Cha"
"SG/SF","Shabazz Muhammad",3000,"Cha@Min 08:00PM ET",11.688,"Min"
"SF","Treveon Graham",3000,"Cha@Min 08:00PM ET",4.917,"Cha"
"PF","Jordan Hill",3000,"Cha@Min 08:00PM ET",6.250,"Min"
"PF","Adreian Payne",3000,"Cha@Min 08:00PM ET",7.333,"Min"
"PF","Christian Wood",3000,"Cha@Min 08:00PM ET",2.500,"Cha"
"C","Nikola Pekovic",3000,"Cha@Min 08:00PM ET",0,"Min"
"PG","Malcolm Delaney",3000,"Atl@Mia 07:30PM ET",14.639,"Atl"
"SG","Wayne Ellington",3000,"Atl@Mia 07:30PM ET",0,"Mia"
"SG","Rodney McGruder",3000,"Atl@Mia 07:30PM ET",9.469,"Mia"
"SF","Ryan Kelly",3000,"Atl@Mia 07:30PM ET",1.750,"Atl"
"SF","Taurean Prince",3000,"Atl@Mia 07:30PM ET",3.650,"Atl"
"SF","DeAndre' Bembry",3000,"Atl@Mia 07:30PM ET",2.250,"Atl"
"PF","Chris Bosh",3000,"Atl@Mia 07:30PM ET",0,"Mia"
